index,subject,question,answer,a,b,c,d
38,geography,भारत का सबसे दक्षिणी बिंदु कौन सा है?,c,कन्याकुमारी,रामेश्वरम,इंदिरा पॉइंट (निकोबार),पम्बन द्वीप
39,geography,ग्रेट बैरियर रीफ किस देश में है?,b,न्यूजीलैंड,ऑस्ट्रेलिया,फिजी,इंडोनेशिया
40,geography,भारत की राजधानी नई दिल्ली कौन सी नदी के किनारे है?,a,यमुना,गंगा,सरस्वती,हिंडन
41,geography,विश्व की सबसे गहरी झील कौन सी है?,c,कैस्पियन सागर,सुपीरियर झील,बैकाल झील (रूस),मृत सागर
42,geography,भारत में सबसे ज्यादा जनसंख्या वाला राज्य कौन सा है?,b,महाराष्ट्र,उत्तर प्रदेश,बिहार,पश्चिम बंगाल
43,geography,हिमालय पर्वत श्रृंखला की लंबाई लगभग कितनी है?,a,2400 किमी,3000 किमी,1800 किमी,4000 किमी
44,geography,गंगा नदी का उद्गम स्थल कौन सा है?,c,यमुनोत्री,बद्रीनाथ,गंगोत्री,केदारनाथ
45,geography,भारत का सबसे छोटा राज्य (क्षेत्रफल) कौन सा है?,b,सिक्किम,गोवा,त्रिपुरा,मेघालय
46,geography,विश्व का सबसे बड़ा द्वीप कौन सा है?,a,ग्रीनलैंड,न्यू गिनी,बोर्नियो,मेडागास्कर
47,geography,भारत की पूर्वी तट रेखा पर स्थित प्रमुख बंदरगाह कौन सा है?,c,मुंबई,कांडला,चेन्नई,कोच्चि
48,geography,थार मरुस्थल किस राज्य में है?,b,गुजरात,राजस्थान,हरियाणा,पंजाब
49,geography,भारत की सबसे बड़ी खारे पानी की झील कौन सी है?,a,चिल्का झील (ओडिशा),सांभर झील,पुलीकट झील,डीडवाना झील
50,geography,विश्व का सबसे बड़ा महासागर कौन सा है?,c,अटलांटिक,हिंद महासागर,प्रशांत महासागर,आर्कटिक
