index,subject,question,answer,a,b,c,d
93,gk,organization की स्थापना किसने की?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
94,gk,organization की स्थापना किसने की?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
95,gk,person का जन्म कब हुआ था?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
96,gk,event कब हुआ था?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
97,gk,country की मुद्रा क्या है?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
98,gk,country की मुद्रा क्या है?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
99,gk,person का जन्म कब हुआ था?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
100,gk,person का जन्म कब हुआ था?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
101,gk,award पुरस्कार किस वर्ष शुरू हुआ?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
102,gk,award पुरस्कार किस वर्ष शुरू हुआ?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
103,gk,event कब हुआ था?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
104,gk,organization की स्थापना किसने की?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
105,gk,organization की स्थापना किसने की?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
106,gk,person का जन्म कब हुआ था?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
107,gk,event कब हुआ था?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
108,gk,award पुरस्कार किस वर्ष शुरू हुआ?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
109,gk,award पुरस्कार किस वर्ष शुरू हुआ?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
110,gk,organization की स्थापना किसने की?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
111,gk,organization की स्थापना किसने की?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
112,gk,organization की स्थापना किसने की?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
113,gk,event कब हुआ था?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
114,gk,event कब हुआ था?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
115,gk,country की मुद्रा क्या है?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
116,gk,event कब हुआ था?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
117,gk,person का जन्म कब हुआ था?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
118,gk,person का जन्म कब हुआ था?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
119,gk,event कब हुआ था?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
120,gk,award पुरस्कार किस वर्ष शुरू हुआ?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
121,gk,country की मुद्रा क्या है?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
122,gk,country की मुद्रा क्या है?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
123,gk,country की मुद्रा क्या है?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
124,gk,country की मुद्रा क्या है?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
125,gk,country की मुद्रा क्या है?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
126,gk,person का जन्म कब हुआ था?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
127,gk,event कब हुआ था?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
128,gk,award पुरस्कार किस वर्ष शुरू हुआ?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
129,gk,organization की स्थापना किसने की?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
130,gk,country की मुद्रा क्या है?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
131,gk,person का जन्म कब हुआ था?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
132,gk,award पुरस्कार किस वर्ष शुरू हुआ?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
133,gk,event कब हुआ था?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
134,gk,organization की स्थापना किसने की?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
135,gk,event कब हुआ था?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
136,gk,organization की स्थापना किसने की?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
137,gk,organization की स्थापना किसने की?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
138,gk,organization की स्थापना किसने की?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
139,gk,country की मुद्रा क्या है?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
140,gk,award पुरस्कार किस वर्ष शुरू हुआ?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
141,gk,award पुरस्कार किस वर्ष शुरू हुआ?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
142,gk,organization की स्थापना किसने की?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
143,gk,organization की स्थापना किसने की?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
144,gk,event कब हुआ था?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
145,gk,organization की स्थापना किसने की?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
146,gk,organization की स्थापना किसने की?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
147,gk,country की मुद्रा क्या है?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
148,gk,person का जन्म कब हुआ था?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
149,gk,organization की स्थापना किसने की?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
150,gk,person का जन्म कब हुआ था?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
151,gk,event कब हुआ था?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
152,gk,organization की स्थापना किसने की?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
153,gk,event कब हुआ था?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
154,gk,event कब हुआ था?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
155,gk,event कब हुआ था?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
156,gk,country की मुद्रा क्या है?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
157,gk,award पुरस्कार किस वर्ष शुरू हुआ?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
158,gk,award पुरस्कार किस वर्ष शुरू हुआ?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
159,gk,organization की स्थापना किसने की?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
160,gk,award पुरस्कार किस वर्ष शुरू हुआ?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
161,gk,award पुरस्कार किस वर्ष शुरू हुआ?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
162,gk,award पुरस्कार किस वर्ष शुरू हुआ?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
163,gk,person का जन्म कब हुआ था?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
164,gk,person का जन्म कब हुआ था?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
165,gk,country की मुद्रा क्या है?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
166,gk,award पुरस्कार किस वर्ष शुरू हुआ?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
167,gk,event कब हुआ था?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
168,gk,organization की स्थापना किसने की?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
169,gk,organization की स्थापना किसने की?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
170,gk,country की मुद्रा क्या है?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
171,gk,country की मुद्रा क्या है?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
172,gk,person का जन्म कब हुआ था?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
173,gk,country की मुद्रा क्या है?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
174,gk,award पुरस्कार किस वर्ष शुरू हुआ?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
175,gk,country की मुद्रा क्या है?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
176,gk,organization की स्थापना किसने की?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
177,gk,award पुरस्कार किस वर्ष शुरू हुआ?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
178,gk,event कब हुआ था?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
179,gk,award पुरस्कार किस वर्ष शुरू हुआ?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
180,gk,person का जन्म कब हुआ था?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
181,gk,award पुरस्कार किस वर्ष शुरू हुआ?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
182,gk,person का जन्म कब हुआ था?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
183,gk,person का जन्म कब हुआ था?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
184,gk,organization की स्थापना किसने की?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
185,gk,event कब हुआ था?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
186,gk,organization की स्थापना किसने की?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
187,gk,country की मुद्रा क्या है?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
188,gk,event कब हुआ था?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
189,gk,person का जन्म कब हुआ था?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
190,gk,organization की स्थापना किसने की?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
191,gk,person का जन्म कब हुआ था?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
192,gk,country की मुद्रा क्या है?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
193,gk,person का जन्म कब हुआ था?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
194,gk,country की मुद्रा क्या है?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
195,gk,organization की स्थापना किसने की?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
196,gk,person का जन्म कब हुआ था?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
197,gk,organization की स्थापना किसने की?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
198,gk,event कब हुआ था?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
199,gk,country की मुद्रा क्या है?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
200,gk,event कब हुआ था?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
201,gk,award पुरस्कार किस वर्ष शुरू हुआ?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
202,gk,event कब हुआ था?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
203,gk,event कब हुआ था?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
204,gk,organization की स्थापना किसने की?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
205,gk,country की मुद्रा क्या है?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
206,gk,person का जन्म कब हुआ था?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
207,gk,award पुरस्कार किस वर्ष शुरू हुआ?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
208,gk,organization की स्थापना किसने की?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
209,gk,country की मुद्रा क्या है?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
210,gk,award पुरस्कार किस वर्ष शुरू हुआ?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
211,gk,country की मुद्रा क्या है?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
212,gk,event कब हुआ था?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
213,gk,organization की स्थापना किसने की?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
214,gk,event कब हुआ था?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
215,gk,country की मुद्रा क्या है?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
216,gk,person का जन्म कब हुआ था?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
217,gk,award पुरस्कार किस वर्ष शुरू हुआ?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
218,gk,award पुरस्कार किस वर्ष शुरू हुआ?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
219,gk,award पुरस्कार किस वर्ष शुरू हुआ?,a,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
220,gk,country की मुद्रा क्या है?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
221,gk,country की मुद्रा क्या है?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
222,gk,person का जन्म कब हुआ था?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
223,gk,person का जन्म कब हुआ था?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
224,gk,event कब हुआ था?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
225,gk,award पुरस्कार किस वर्ष शुरू हुआ?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
226,gk,award पुरस्कार किस वर्ष शुरू हुआ?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
227,gk,organization की स्थापना किसने की?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
228,gk,award पुरस्कार किस वर्ष शुरू हुआ?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
229,gk,organization की स्थापना किसने की?,b,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
230,gk,award पुरस्कार किस वर्ष शुरू हुआ?,c,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
231,gk,organization की स्थापना किसने की?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
232,gk,person का जन्म कब हुआ था?,d,उपरोक्त में से कोई नहीं,अज्ञात,अन्य,सही उत्तर
